best_answer_last_adversary - far
best_answer_last_adversary : (0, 0, 1, 2, 4)
best_answer_last_adversary : (1, 1, 0, 4, 1)
far : (0, 3, 0, 4, 0)
best_answer_last_adversary : (1, 4, 1, 0, 1)
far : (4, 0, 0, 3, 0)
best_answer_last_adversary : (0, 1, 1, 4, 1)
far : (0, 0, 7, 0, 0)
best_answer_last_adversary : (1, 1, 0, 1, 1)
far : (4, 0, 3, 0, 0)
best_answer_last_adversary : (0, 1, 4, 1, 1)
far : (6, 0, 1, 0, 0)
best_answer_last_adversary : (0, 1, 2, 1, 1)
far : (0, 2, 0, 0, 5)
